# SYNTHETIC polystyrene-like FTIR spectrum — generated for testing, not measured data
wavenumber,absorbance
4000,0.0186
3998,0.0172
3996,0.0212
3994,0.0166
3992,0.0203
3990,0.0189
3988,0.0165
3986,0.0201
3984,0.0163
3982,0.0195
3980,0.0166
3978,0.0167
3976,0.0194
3974,0.0226
3972,0.0170
3970,0.0178
3968,0.0210
3966,0.0236
3964,0.0206
3962,0.0192
3960,0.0238
3958,0.0164
3956,0.0229
3954,0.0183
3952,0.0172
3950,0.0169
3948,0.0185
3946,0.0225
3944,0.0174
3942,0.0207
3940,0.0211
3938,0.0190
3936,0.0204
3934,0.0165
3932,0.0165
3930,0.0176
3928,0.0214
3926,0.0194
3924,0.0185
3922,0.0207
3920,0.0196
3918,0.0184
3916,0.0224
3914,0.0216
3912,0.0180
3910,0.0206
3908,0.0202
3906,0.0230
3904,0.0218
3902,0.0183
3900,0.0238
3898,0.0169
3896,0.0193
3894,0.0221
3892,0.0172
3890,0.0199
3888,0.0163
3886,0.0213
3884,0.0221
3882,0.0206
3880,0.0230
3878,0.0185
3876,0.0216
3874,0.0208
3872,0.0206
3870,0.0196
3868,0.0227
3866,0.0236
3864,0.0198
3862,0.0213
3860,0.0165
3858,0.0216
3856,0.0212
3854,0.0239
3852,0.0226
3850,0.0183
3848,0.0191
3846,0.0213
3844,0.0162
3842,0.0197
3840,0.0173
3838,0.0169
3836,0.0165
3834,0.0221
3832,0.0170
3830,0.0180
3828,0.0191
3826,0.0230
3824,0.0166
3822,0.0196
3820,0.0204
3818,0.0231
3816,0.0226
3814,0.0229
3812,0.0182
3810,0.0193
3808,0.0189
3806,0.0231
3804,0.0237
3802,0.0172
3800,0.0174
3798,0.0179
3796,0.0179
3794,0.0199
3792,0.0207
3790,0.0181
3788,0.0160
3786,0.0194
3784,0.0190
3782,0.0205
3780,0.0236
3778,0.0215
3776,0.0201
3774,0.0209
3772,0.0214
3770,0.0164
3768,0.0232
3766,0.0222
3764,0.0230
3762,0.0224
3760,0.0191
3758,0.0192
3756,0.0168
3754,0.0211
3752,0.0165
3750,0.0165
3748,0.0177
3746,0.0173
3744,0.0187
3742,0.0164
3740,0.0160
3738,0.0172
3736,0.0168
3734,0.0189
3732,0.0162
3730,0.0230
3728,0.0209
3726,0.0172
3724,0.0180
3722,0.0188
3720,0.0189
3718,0.0170
3716,0.0228
3714,0.0239
3712,0.0197
3710,0.0199
3708,0.0167
3706,0.0168
3704,0.0187
3702,0.0181
3700,0.0226
