# SYNTHETIC ZnO-like FTIR spectrum (transmittance) — generated for testing, not measured data
wavenumber,transmittance
4000,94.52
3998,94.94
3996,94.62
3994,94.51
3992,95.04
3990,94.61
3988,95.03
3986,94.98
3984,94.99
3982,94.53
3980,94.71
3978,94.49
3976,94.98
3974,94.91
3972,94.78
3970,94.66
3968,94.58
3966,94.86
3964,94.64
3962,94.72
3960,94.42
3958,94.45
3956,94.34
3954,94.72
3952,94.61
3950,94.36
3948,94.78
3946,94.40
3944,94.47
3942,94.30
3940,94.36
3938,94.68
3936,94.36
3934,94.25
3932,94.42
3930,94.30
3928,94.63
3926,94.14
3924,94.64
3922,94.07
3920,94.55
3918,94.39
3916,94.10
3914,94.23
3912,94.10
3910,94.05
3908,94.00
3906,94.07
3904,94.42
3902,94.40
3900,94.33
3898,93.81
3896,93.89
3894,94.23
3892,93.70
3890,94.07
3888,93.78
3886,94.16
3884,93.55
3882,93.99
3880,93.67
3878,93.52
3876,93.40
3874,93.86
3872,93.64
3870,93.40
3868,93.51
3866,93.76
3864,93.30
3862,93.47
3860,93.17
3858,93.15
3856,93.46
3854,93.38
3852,93.02
3850,92.91
3848,92.86
3846,93.13
3844,93.01
3842,92.82
3840,92.73
3838,92.92
3836,92.92
3834,92.93
3832,92.74
3830,92.45
3828,92.31
3826,92.65
3824,92.39
3822,92.52
3820,92.06
3818,92.44
3816,92.09
3814,92.33
3812,92.27
3810,91.98
3808,91.62
3806,92.09
3804,91.75
3802,91.91
3800,91.47
3798,91.35
3796,91.66
3794,91.30
3792,91.09
3790,91.13
3788,91.18
3786,90.74
3784,90.96
3782,90.83
3780,90.78
3778,90.45
3776,90.71
3774,90.68
3772,90.61
3770,90.19
3768,90.32
3766,90.03
3764,90.14
3762,89.63
3760,90.01
3758,89.95
3756,89.57
3754,89.47
3752,89.37
3750,89.26
3748,88.83
3746,89.28
3744,88.72
3742,88.58
3740,88.41
3738,88.37
3736,88.59
3734,87.99
3732,87.90
3730,88.14
3728,87.71
3726,87.47
3724,87.68
3722,87.53
3720,87.37
3718,87.34
3716,86.84
3714,87.16
3712,86.92
3710,86.38
3708,86.28
3706,86.35
3704,86.21
3702,85.93
3700,85.68
3698,85.70
3696,85.39
3694,85.50
3692,85.51
3690,84.92
3688,85.02
3686,84.96
3684,84.45
3682,84.69
3680,84.59
3678,84.10
3676,83.95
3674,84.03
3672,83.67
3670,83.43
3668,83.58
3666,83.31
3664,82.88
3662,82.64
3660,82.52
3658,82.41
3656,82.56
3654,82.27
3652,82.16
3650,81.92
3648,81.76
3646,81.10
3644,81.20
3642,81.28
3640,81.08
3638,80.49
3636,80.41
3634,80.35
3632,80.00
3630,79.92
3628,79.45
3626,79.48
3624,79.34
3622,78.86
3620,78.74
3618,79.05
3616,78.75
3614,78.66
3612,78.29
3610,78.20
3608,78.06
3606,77.87
3604,77.17
3602,77.35
3600,76.93
3598,76.99
3596,76.56
3594,76.54
3592,76.58
3590,76.21
3588,75.80
3586,75.78
3584,75.54
3582,75.67
3580,75.09
3578,74.91
3576,74.94
3574,74.44
3572,74.54
3570,74.58
3568,74.14
3566,73.81
3564,73.76
3562,73.62
3560,73.22
3558,73.03
3556,72.86
3554,72.79
3552,72.69
3550,72.45
3548,72.26
3546,72.00
3544,72.12
3542,72.13
3540,71.84
3538,71.65
3536,71.55
3534,71.13
3532,71.28
3530,70.98
3528,70.89
3526,70.78
3524,70.55
3522,70.31
3520,70.14
3518,69.99
3516,70.03
3514,69.82
3512,69.81
3510,69.34
3508,69.42
3506,69.60
3504,69.11
3502,69.19
3500,69.03
3498,68.80
3496,69.11
3494,68.59
3492,68.78
3490,68.31
3488,68.16
3486,68.55
3484,68.20
3482,67.88
3480,67.99
3478,67.94
3476,68.04
3474,67.59
3472,67.59
3470,67.96
3468,67.76
3466,67.35
3464,67.40
3462,67.35
3460,67.49
3458,67.41
3456,67.50
3454,67.44
3452,67.22
3450,67.32
3448,67.29
3446,67.27
3444,67.07
3442,67.23
3440,67.17
3438,67.28
3436,66.79
3434,67.23
3432,66.70
3430,67.16
3428,67.05
3426,67.01
3424,67.29
3422,67.07
3420,66.99
3418,67.23
3416,67.31
3414,67.17
3412,67.07
3410,67.14
3408,67.18
3406,67.38
3404,67.17
3402,67.27
3400,67.42
3398,67.37
3396,67.39
3394,67.73
3392,67.83
3390,67.68
3388,67.72
3386,67.63
3384,67.78
3382,67.77
3380,68.10
3378,68.19
3376,67.98
3374,68.57
3372,68.31
3370,68.72
3368,68.82
3366,68.99
3364,68.64
3362,68.88
3360,69.29
3358,68.86
3356,69.00
3354,69.43
3352,69.51
3350,69.89
3348,69.92
3346,69.91
3344,70.32
3342,70.16
3340,70.30
3338,70.54
3336,70.50
3334,70.63
3332,70.91
3330,70.91
3328,71.42
3326,71.41
3324,71.47
3322,71.37
3320,71.69
3318,71.87
3316,72.13
3314,72.29
3312,72.64
3310,72.86
3308,72.74
3306,72.88
3304,73.16
3302,73.55
3300,73.33
3298,73.62
3296,73.97
3294,73.76
3292,74.02
3290,74.60
3288,74.68
3286,74.68
3284,74.62
3282,75.27
3280,75.33
3278,75.59
3276,75.88
3274,76.00
3272,75.90
3270,75.93
3268,76.20
3266,76.52
3264,76.70
3262,76.70
3260,76.88
3258,77.34
3256,77.51
3254,77.55
3252,78.12
3250,78.10
3248,77.93
3246,78.34
3244,78.76
3242,78.66
3240,79.07
3238,78.85
3236,79.22
3234,79.73
3232,79.76
3230,80.00
3228,79.90
3226,80.27
3224,80.49
3222,80.50
3220,80.91
3218,81.02
3216,81.49
3214,81.42
3212,81.50
3210,81.51
3208,81.71
3206,82.25
3204,82.03
3202,82.21
3200,82.43
3198,82.81
3196,83.17
3194,83.21
3192,83.50
3190,83.23
3188,83.37
3186,83.99
3184,83.89
3182,84.29
3180,84.24
3178,84.29
3176,84.51
3174,84.58
3172,85.22
3170,85.18
3168,85.20
3166,85.42
3164,85.54
3162,85.49
3160,86.14
3158,86.11
3156,86.49
3154,86.32
3152,86.58
3150,86.50
3148,86.52
3146,87.19
3144,87.29
